Player,gp,goals,assists,points,plusminus,PIM,pointShares,evenStrengthG,powerPlayG,shortHandG,gameWinningG,evenStrengthA,powerPlayA,shortHandA,shots,TOI,blocks,hits,foWins,foLosses,CorsiFor,CorsiAgainst,FenwickFor,FenwickAgainst,oiSHperc,oiSVperc,oZSperc,dZSperc,takeaways,giveaways,shotAttempts,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,PDO
Alexander Kerfoot\kerfoal01,222,43,70,113,-18,98,9.7,33,10,0,2,44,26,0,285,3183,105,112,672,716,2447,2385,1799,1770,9.833333333333334,89.73333333333333,53.166666666666664,46.833333333333336,80,87,484,59.1,0.15087719298245614,14.337837837837839,0.484149855907781,0.5064155629139073,0.5040627626786215,99.56666666666666
Alexander Khavanov\khavaal01,64,6,6,12,-11,60,2,3,2,1,0,4,2,0,44,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13636363636363635,17.125,NaN,NaN,NaN,0
Alexander Khokhlachev\khokhal01,9,0,0,0,-4,2,-0.30000000000000004,0,0,0,0,0,0,0,7,91,1,4,17,19,73,73,55,64,0,93,58.43333333333333,41.56666666666667,1,2,13,80,0,10.11111111111111,0.4722222222222222,0.5,0.46218487394957986,93
Alexander Mogilny\mogilal01,34,12,13,25,-7,6,2.5,5,7,0,3,10,3,0,93,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12903225806451613,16.147058823529413,NaN,NaN,NaN,0
Alexander Nikulin\nikulal01,3,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,1,16,0,0,1,3,7,13,5,11,0,69.05000000000001,75,25,0,0,2,NA,0,5.333333333333333,0.25,0.35,0.3125,69.05000000000001
Alexander Nylander\nylanal01,84,13,19,32,-11,14,2.4000000000000004,12,1,0,1,17,2,0,116,1023,17,31,7,17,786,761,577,589,5.949999999999999,88.875,62.4,37.6,29,32,193,53.9,0.11206896551724138,12.178571428571429,0.2916666666666667,0.5080801551389786,0.49485420240137223,94.825
Alexander Perezhogin\perezal01,128,15,19,34,16,86,3.2,11,4,0,3,16,3,0,212,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07075471698113207,10.953125,NaN,NaN,NaN,0
Alexander Petrovic\petroal01,263,5,45,50,-10,360,9.100000000000001,5,0,0,1,44,0,1,253,4304,301,631,0,0,3556,3601,2728,2758,8.3,90.9,52.85714285714286,47.142857142857146,55,130,570,42.17142857142857,0.019762845849802372,16.365019011406844,NaN,0.49685622467514323,0.4972657674079475,99.2
Alexander Radulov\radulal01,442,136,198,334,73,308,39.8,100,36,0,22,144,54,0,1005,7677,271,283,22,31,5856,5231,4336,3859,8.557142857142857,78.67142857142856,50.17142857142857,35.542857142857144,220,276,1572,50.18571428571428,0.13532338308457711,17.368778280542987,0.41509433962264153,0.5281861639758275,0.5291031116534473,87.22857142857143
Alexander Semin\seminal01,598,229,266,495,73,546,63,164,61,4,30,155,108,3,1779,10847,141,202,37,78,8006,6704,5865,4996,8.629999999999999,82.34,51.69,38.31,436,419,3154,42.93,0.12872400224845418,18.138795986622075,0.3217391304347826,0.5442556084296397,0.5400055243531903,90.97
Alexander Suglobov\sugloal01,17,1,0,1,-9,4,-0.5,0,1,0,0,0,0,0,22,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,8.235294117647058,NaN,NaN,NaN,0
Alexander Sulzer\sulzeal01,131,7,15,22,4,44,6.2,7,0,0,1,9,4,2,121,2198,172,82,1,0,1794,1864,1326,1409,6.116666666666667,94.7,57.16666666666667,42.833333333333336,20,48,281,NA,0.05785123966942149,16.778625954198475,1,0.4904319300164024,0.4848263254113345,100.81666666666666
Alexander Svitov\svitoal01,76,7,11,18,-10,145,0.5,6,1,0,2,8,3,0,83,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08433734939759036,13.776315789473685,NaN,NaN,NaN,0
Alexander True\trueal01,12,0,4,4,1,2,0.3,0,0,0,0,4,0,0,12,120,2,23,32,37,98,70,77,52,11.8,87.8,59.1,40.9,2,5,18,66.7,0,10,0.463768115942029,0.5833333333333334,0.5968992248062015,99.6
Alexander Urbom\urbomal01,34,3,1,4,-1,28,1.2,3,0,0,1,0,0,1,24,475,22,36,0,0,332,392,259,298,6.574999999999999,89.75,59.675,40.325,7,21,56,34.6,0.125,13.970588235294118,NaN,0.4585635359116022,0.4649910233393178,96.325
Alexander Vasyunov\vasyual01,18,1,4,5,0,0,0.4,1,0,0,0,4,0,0,18,207,2,6,0,0,163,126,114,91,6.9,91.2,54.4,45.6,5,5,32,56.3,0.05555555555555555,11.5,NaN,0.5640138408304498,0.5560975609756098,98.10000000000001
Alexander Volkov\volkoal01,9,0,1,1,-6,6,-0.3,0,0,0,0,1,0,0,7,92,2,10,1,3,60,60,40,49,3.4,80,55.2,44.8,4,2,13,53.8,0,10.222222222222221,0.25,0.5,0.449438202247191,83.4
Alexander Wennberg\wennbal01,415,40,161,201,5,85,14.6,30,9,1,9,112,46,3,501,6905,256,231,2298,2736,5081,4897,3837,3658,8.45,90.75,53.25,46.75,201,132,848,59.21666666666667,0.07984031936127745,16.63855421686747,0.4564958283671037,0.5092202846261776,0.5119412941961308,99.2
Alexander Yelesin\yelesal01,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,50,0,13,0,0,35,28,28,20,10.5,81.3,52.2,47.8,0,2,7,28.6,0,12.5,NaN,0.5555555555555556,0.5833333333333334,91.8
Alexandre Bolduc\boldual01,65,2,3,5,-7,44,-0.5,2,0,0,1,3,0,0,63,532,31,92,114,124,359,474,278,343,4.45,91.98333333333333,50.71666666666667,49.28333333333333,15,9,86,74.11666666666667,0.031746031746031744,8.184615384615384,0.4789915966386555,0.4309723889555822,0.4476650563607085,96.43333333333334
Alexandre Burrows\burroal01,913,205,204,409,104,1134,47.1,167,21,17,31,175,22,7,1736,14135,379,838,177,251,9636,8652,7144,6527,7.223076923076923,77.84615384615384,46.76923076923077,37.84615384615385,404,219,2698,50.38461538461539,0.11808755760368664,15.481927710843374,0.4135514018691589,0.5269028871391076,0.5225660156535733,85.06923076923076
Alexandre Carrier\carrial01,5,0,0,0,3,2,0.30000000000000004,0,0,0,0,0,0,0,5,53,1,3,0,0,49,38,38,28,12.4,100,49.45,50.55,0,0,5,100,0,10.6,NaN,0.5632183908045977,0.5757575757575758,112.4
Alexandre Daigle\daiglal02,46,5,23,28,-6,12,2.2,3,2,0,1,12,11,0,59,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847457627118644,13,NaN,NaN,NaN,0
Alexandre Fortin\fortial01,24,3,3,6,-6,2,0.2,2,0,1,1,3,0,0,29,254,7,21,11,6,260,242,193,182,5.3,90,45.2,54.8,9,3,56,51.8,0.10344827586206896,10.583333333333334,0.6470588235294118,0.5179282868525896,0.5146666666666667,95.3
Alexandre Giroux\giroual01,48,6,6,12,-2,26,0.8,6,0,0,1,5,1,0,79,543,6,63,1,3,373,342,284,265,5.783333333333333,61.4,33.88333333333333,32.78333333333333,18,5,116,38.85,0.0759493670886076,11.3125,0.25,0.5216783216783217,0.517304189435337,67.18333333333334
Alexandre Grenier\grenial01,9,0,0,0,-5,2,-0.4,0,0,0,0,0,0,0,10,88,3,8,3,1,87,84,61,72,2.8,85.65,65.7,34.3,3,3,17,47.1,0,9.777777777777779,0.75,0.5087719298245614,0.45864661654135336,88.45
Alexandre Picard\picaral01,253,19,50,69,-31,86,12,8,11,0,4,36,14,0,291,4502,240,221,0,0,2568,2316,1915,1690,6.271428571428571,63.84285714285714,39.785714285714285,31.642857142857142,44,110,480,34.35714285714286,0.06529209621993128,17.794466403162055,NaN,0.5257985257985258,0.5312066574202496,70.11428571428571
Alexandre Picard\picaral02,67,0,2,2,-9,58,-1,0,0,0,0,1,1,0,53,524,5,56,0,0,150,130,104,95,0.82,55.5,33.14,26.86,5,4,30,41.42,0,7.82089552238806,NaN,0.5357142857142857,0.5226130653266332,56.32
Alexandre Texier\texieal01,38,7,7,14,6,10,1.7,7,0,0,1,6,1,0,55,485,8,22,22,42,344,339,265,241,16.65,95.2,39.15,60.85,16,14,93,66.3,0.12727272727272726,12.763157894736842,0.34375,0.5036603221083455,0.5237154150197628,111.85
Alexei Emelin\emelial01,456,15,66,81,-9,363,18.3,13,1,1,0,63,2,1,408,8769,727,1416,1,0,6892,7448,4996,5370,7.814285714285714,92.64285714285714,44.8,55.2,95,376,1034,39.2,0.03676470588235294,19.230263157894736,1,0.4806136680613668,0.48196025467875747,100.45714285714286
Alexei Kaigorodov\kaigoal01,6,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.833333333333333,NaN,NaN,NaN,0
Alexei Mikhnov\mikhnal01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7,NaN,NaN,NaN,0
Alexei Ponikarovsky\ponikal01,562,127,159,286,28,350,29.2,99,24,4,13,125,33,1,1175,8503,196,690,26,51,5327,4314,3971,3206,6.025,68.15,39.95,35.05,123,143,1469,41.4375,0.10808510638297872,15.129893238434164,0.33766233766233766,0.5525360439788404,0.5532952487111606,74.17500000000001
Alexei Semenov\semenal01,119,4,17,21,0,159,4.5,2,2,0,0,15,2,0,90,1553,47,77,0,1,729,654,554,505,2.875,45.525,25.875,24.125,10,36,115,22.525,0.044444444444444446,13.050420168067227,0,0.527114967462039,0.5231350330500472,48.4
Alexei Yashin\yashial01,140,46,70,116,-8,112,11.2,31,15,0,5,32,38,0,456,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10087719298245613,17.90714285714286,NaN,NaN,NaN,0
Alexei Zhitnik\zhitnal01,203,15,60,75,-3,238,13,9,6,0,3,28,30,2,310,4586,52,65,0,0,859,1019,656,816,2.6666666666666665,30.733333333333334,13.666666666666666,19.666666666666668,24,36,171,15,0.04838709677419355,22.591133004926107,NaN,0.45740149094781685,0.44565217391304346,33.4
Alexey Marchenko\marchal01,121,4,17,21,5,26,5.3999999999999995,4,0,0,0,15,0,2,83,2020,169,78,0,0,1576,1583,1178,1228,11.1,94.65,51.7,48.3,16,59,206,NA,0.04819277108433735,16.694214876033058,NaN,0.49889205444761,0.48960931005818786,105.75
Allan Rourke\rourkal01,30,0,2,2,0,9,0.6,0,0,0,0,2,0,0,7,362,22,3,0,0,84,139,64,93,2.9,30.866666666666664,13.666666666666666,19.666666666666668,1,4,12,11.1,0,12.066666666666666,NaN,0.37668161434977576,0.40764331210191085,33.766666666666666
Alyn McCauley\mccaual01,86,13,14,27,-3,32,1.7,7,4,2,3,10,1,3,109,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11926605504587157,13.709302325581396,NaN,NaN,NaN,0
Anders Bjork\bjorkan01,108,14,20,34,6,18,2.9000000000000004,11,3,0,0,19,1,0,114,1356,44,71,4,5,1015,992,759,723,7.4,92.86666666666666,61.76666666666667,38.233333333333334,48,34,245,46.13333333333333,0.12280701754385964,12.555555555555555,0.4444444444444444,0.5057299451918286,0.5121457489878543,100.26666666666667
Anders Eriksson\eriksan01,160,1,45,46,9,84,9.3,0,1,0,0,32,12,1,134,3169,94,82,0,0,1164,1069,881,845,5.633333333333334,61.43333333333333,36.43333333333333,30.233333333333334,31,50,148,21.766666666666666,0.007462686567164179,19.80625,NaN,0.5212718316166592,0.5104287369640788,67.06666666666666
Anders Lee\leean01,493,172,129,301,19,303,37.5,122,50,0,28,98,31,0,1248,7946,237,860,186,217,6667,6347,4919,4654,12.525,85.775,54.2625,45.7375,158,187,1928,63.2875,0.13782051282051283,16.11764705882353,0.46153846153846156,0.512294452128477,0.5138410111772694,98.30000000000001
Andre Benoit\benoian01,181,11,37,48,-20,60,8,8,2,1,4,26,10,1,225,3370,288,131,0,0,2419,2926,1776,2160,8.74,93.64,45.72,54.28,40,72,488,39.12,0.04888888888888889,18.61878453038674,NaN,0.45257249766136576,0.45121951219512196,102.38
Andre Burakovsky\burakan01,386,82,108,190,45,99,21.7,73,9,0,19,89,19,0,589,5066,156,191,123,155,4560,4124,3252,3050,9.983333333333334,91.86666666666667,56.05,43.95,163,176,1134,51.71666666666667,0.13921901528013583,13.124352331606218,0.44244604316546765,0.525103638876094,0.5160266582037448,101.85000000000001
Andre Deveaux\deveaan01,31,0,2,2,-1,104,-0.19999999999999998,0,0,0,0,2,0,0,18,206,10,61,4,5,146,185,106,138,10.233333333333333,90.1,49.13333333333333,50.86666666666667,2,3,28,71.73333333333333,0,6.645161290322581,0.4444444444444444,0.44108761329305135,0.4344262295081967,100.33333333333333
Andre Petersson\peteran02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,1,1,NA,NA,100,0,0,0,0,NA,NaN,5,NaN,0.6666666666666666,0.5,NA
Andre Roy\royan01,205,10,6,16,-9,435,0.5,10,0,0,2,6,0,0,90,1048,3,132,1,0,459,447,327,348,2.85,47.099999999999994,29.175,20.825000000000003,11,10,116,27.7,0.1111111111111111,5.11219512195122,1,0.5066225165562914,0.48444444444444446,49.949999999999996
Andreas Athanasiou\athanan01,303,84,72,156,-76,117,15.100000000000001,75,8,1,12,55,17,0,688,4444,107,140,410,559,3289,3648,2514,2832,8.84,88.86,57.34,42.66,107,140,1234,56.66,0.12209302325581395,14.666666666666666,0.4231166150670795,0.474124261208015,0.4702581369248036,97.7
Andreas Borgman\borgman01,48,3,8,11,4,28,2.2,3,0,0,0,8,0,0,46,657,36,121,0,0,635,626,454,482,10.5,91.7,56,44,13,36,117,39.3,0.06521739130434782,13.6875,NaN,0.5035685963521015,0.48504273504273504,102.2
Andreas Englund\engluan01,33,0,3,3,-12,24,-0.30000000000000004,0,0,0,0,3,0,0,15,366,20,84,0,0,229,261,162,188,11.325,84.675,55.325,44.675,5,10,32,NA,0,11.090909090909092,NaN,0.4673469387755102,0.46285714285714286,96
Andreas Engqvist\engqvan01,15,0,0,0,-1,4,-0.2,0,0,0,0,0,0,0,4,105,8,11,31,48,74,80,51,54,1.85,96.65,50,50,1,1,15,26.15,0,7,0.3924050632911392,0.4805194805194805,0.4857142857142857,98.5
Andreas Johnsson\johnsan01,125,30,37,67,12,46,6.800000000000001,23,7,0,4,32,5,0,227,1780,62,108,9,18,1599,1351,1161,1032,9.166666666666666,89.13333333333334,48.06666666666667,51.93333333333333,42,45,369,64.1,0.13215859030837004,14.24,0.3333333333333333,0.5420338983050847,0.5294117647058824,98.30000000000001
Andreas Karlsson\karlsan01,111,5,8,13,-11,22,-0.3,5,0,0,2,7,1,0,56,1006,30,34,182,151,320,328,234,238,3.1,45.4,23.1,26.9,14,2,61,25.4,0.08928571428571429,9.063063063063064,0.5465465465465466,0.49382716049382713,0.4957627118644068,48.5
Andreas Lilja\liljaan01,400,8,52,60,26,377,15.1,8,0,0,3,50,1,1,334,6784,417,429,0,2,3116,2964,2477,2280,5.075,69.05,38.45,36.55,41,121,403,38.6125,0.023952095808383235,16.96,0,0.5125,0.5207063275173429,74.125
Andreas Martinsen\martian01,152,9,14,23,-24,110,-2.7755575615628914e-17,9,0,0,1,13,0,1,160,1551,68,446,7,8,1144,1461,832,1059,5.975,92.275,40.35,59.65,41,26,283,57.074999999999996,0.05625,10.203947368421053,0.4666666666666667,0.4391554702495202,0.4399788471708091,98.25
Andreas Nodl\nodlan01,183,15,21,36,-9,28,1.0999999999999999,13,1,1,2,21,0,0,207,2173,60,240,15,15,1835,1927,1360,1408,4.9399999999999995,91.42,49.08,50.92,59,61,364,48.660000000000004,0.07246376811594203,11.87431693989071,0.5,0.48777246145667197,0.4913294797687861,96.36
Andreas Thuresson\thurean01,25,1,2,3,-6,6,-0.30000000000000004,1,0,0,0,2,0,0,32,250,6,50,3,9,230,200,175,156,1.4,93.4,42.4,57.6,9,7,55,47.25,0.03125,10,0.25,0.5348837209302325,0.5287009063444109,94.80000000000001
Andrei Chibisov\chibian01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,0,0,7,14,7,11,0,100,50,50,0,0,1,100,0,7.5,NaN,0.3333333333333333,0.3888888888888889,100
Andrei Kostitsyn\kostian01,398,103,119,222,15,181,25.9,69,34,0,20,95,24,0,826,6078,97,580,11,26,4431,4613,3200,3346,6.785714285714286,65.7,35.47142857142857,35.957142857142856,111,180,1455,38.2,0.12469733656174334,15.271356783919598,0.2972972972972973,0.48993808049535603,0.488848151542927,72.4857142857143
Andrei Loktionov\loktian01,155,22,26,48,-6,22,4.8,18,4,0,4,19,7,0,212,2063,37,51,322,465,1667,1356,1229,1046,5.72,93.44,64.1,35.9,75,54,398,52.7,0.10377358490566038,13.30967741935484,0.409148665819568,0.5514389679126696,0.5402197802197802,99.16
Andrei Markov\markoan01,723,89,371,460,60,409,82.3,35,51,3,17,167,193,11,1208,17426,939,396,0,0,9895,9958,7147,7380,7.208333333333333,77.20833333333333,41.31666666666667,42.016666666666666,324,611,2273,37.333333333333336,0.07367549668874172,24.10235131396957,NaN,0.49841333803455395,0.4919804501961864,84.41666666666666
Andrei Mironov\mironan01,10,1,2,3,2,12,0.7,1,0,0,0,2,0,0,3,110,16,19,0,0,74,106,46,70,11.4,96.2,61.8,38.2,1,3,9,33.3,0.3333333333333333,11,NaN,0.4111111111111111,0.39655172413793105,107.60000000000001
Andrei Nazarov\nazaran01,2,0,0,0,-1,6,-0.1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,5,NaN,NaN,NaN,0
Andrei Svechnikov\svechan01,150,44,54,98,9,116,10.8,38,6,0,8,35,19,0,372,2339,53,239,1,7,2068,1596,1580,1220,10.15,89.15,53.65,46.35,63,129,630,59.1,0.11827956989247312,15.593333333333334,0.125,0.5644104803493449,0.5642857142857143,99.30000000000001
Andrei Zubarev\zubaran01,4,0,1,1,-4,4,-0.2,0,0,0,0,1,0,0,2,80,8,15,0,0,66,58,51,38,5.7,81.3,71.7,28.3,2,0,4,50,0,20,NaN,0.532258064516129,0.5730337078651685,87
Andrei Zyuzin\zyuzian01,138,10,19,29,-25,118,4.6,5,5,0,1,14,5,0,150,2232,35,29,0,0,275,312,207,237,2.1333333333333333,29.633333333333336,15.266666666666666,18.066666666666666,6,10,68,16.666666666666668,0.06666666666666667,16.17391304347826,NaN,0.4684838160136286,0.46621621621621623,31.76666666666667
Andrej Meszaros\meszaan01,645,63,175,238,25,457,41.8,41,21,1,11,119,54,2,1103,13080,714,765,0,2,7113,7601,5312,5774,6.47,73.38,39.68,40.32,156,245,1727,37.54,0.057116953762466005,20.27906976744186,0,0.4834171537311404,0.47916290817246976,79.85
Andrej Nestrasil\nestran01,128,17,31,48,0,18,4.9,13,4,0,1,28,3,0,214,1717,36,91,66,63,1536,1250,1116,924,7.133333333333333,90.83333333333333,51.53333333333333,48.46666666666667,71,37,385,59.2,0.0794392523364486,13.4140625,0.5116279069767442,0.5513280689160086,0.5470588235294118,97.96666666666667
Andrej Sekera\sekeran01,764,47,197,244,3,192,48.6,34,10,3,6,139,55,3,1032,15620,1146,575,0,3,11934,11716,8775,8743,7.4714285714285715,85.04285714285714,46.82142857142857,46.035714285714285,328,536,2408,39.64285714285714,0.045542635658914726,20.445026178010473,0,0.5046088794926005,0.5009133462724056,92.51428571428572
Andrej Sustr\sustran01,323,10,53,63,-3,147,11.799999999999999,10,0,0,2,50,1,2,305,5303,329,151,0,1,4201,4269,3136,3263,7.385714285714286,94,50.55714285714286,49.44285714285714,61,151,617,54.07142857142858,0.03278688524590164,16.41795665634675,0,0.4959858323494687,0.4900765744647601,101.38571428571429
Andrew Agozzino\agozzan01,43,2,6,8,5,4,0.7,2,0,0,0,5,1,0,25,335,14,48,78,82,240,250,178,175,11.075,95.925,50.6,49.4,7,9,45,52.875,0.08,7.790697674418604,0.4875,0.4897959183673469,0.5042492917847026,107
Andrew Alberts\alberan01,459,8,47,55,2,492,13.4,7,0,1,2,44,1,2,252,7274,399,675,1,2,3560,3815,2603,2823,6.966666666666667,72.17777777777778,33.41111111111111,44.36666666666667,76,159,480,29.1,0.031746031746031744,15.847494553376906,0.3333333333333333,0.48271186440677966,0.47972723921857724,79.14444444444445
Andrew Bodnarchuk\bodnaan01,42,0,4,4,-9,16,0.1,0,0,0,0,4,0,0,9,494,30,46,0,0,369,510,273,388,7.85,88.5,50.2,49.8,3,6,38,13.65,0,11.761904761904763,NaN,0.4197952218430034,0.4130105900151286,96.35
Andrew Brunette\brunean01,568,147,242,389,-24,148,39.5,87,60,0,15,154,88,0,866,9129,100,117,24,35,4508,4620,3424,3516,6.4,64.82857142857142,39.15714285714286,32.27142857142857,89,132,829,48.68571428571429,0.1697459584295612,16.072183098591548,0.4067796610169492,0.4938650306748466,0.49337175792507204,71.22857142857143
Andrew Campbell\campban01,42,0,2,2,-13,12,0,0,0,0,0,2,0,0,33,687,69,75,0,0,541,630,395,468,5.5,93.9,49.233333333333334,50.766666666666666,3,7,72,45.2,0,16.357142857142858,NaN,0.46199829205807,0.45770567786790267,99.4
Andrew Cassels\cassean01,31,4,8,12,-3,14,0.7,2,2,0,0,4,4,0,29,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13793103448275862,13.225806451612904,NaN,NaN,NaN,0
Andrew Cogliano\coglian01,1012,165,234,399,40,345,38.2,137,9,19,30,206,19,8,1625,14751,423,1042,1394,2055,11216,11751,8395,8807,8.307692307692308,92.43076923076923,46.19230769230769,53.80769230769231,339,453,2795,58.284615384615385,0.10153846153846154,14.576086956521738,0.4041751232241229,0.4883528540950059,0.48802464829670966,100.73846153846154
Andrew Copp\coppan01,356,46,64,110,52,54,10.3,41,1,4,8,60,0,4,434,4499,158,403,1135,1075,3314,3243,2421,2395,11.566666666666666,94.58333333333333,45.85,54.15,119,118,752,65.4,0.10599078341013825,12.637640449438202,0.5135746606334841,0.5054140613085253,0.5026993355481728,106.14999999999999
Andrew Crescenzi\crescan01,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,4,8,8,5,17,4,13,0,100,50,50,1,0,1,0,NaN,8,0.5,0.22727272727272727,0.23529411764705882,100
Andrew Desjardins\desjaan01,408,23,41,64,-26,307,1.1,23,0,0,6,40,0,1,439,4380,223,581,854,762,3500,3596,2544,2538,5.371428571428572,92.51428571428572,43.82857142857143,56.17142857142857,133,105,766,56.41428571428572,0.05239179954441914,10.735294117647058,0.5284653465346535,0.4932356257046223,0.500590318772137,97.88571428571429
Andrew Ebbett\ebbetan01,224,26,45,71,0,50,5.9,16,9,1,5,37,8,0,278,2645,109,142,791,891,2004,2048,1520,1555,10.424999999999999,93.3125,50.9625,49.0375,57,58,475,56.325,0.09352517985611511,11.808035714285714,0.4702734839476813,0.4945705824284304,0.4943089430894309,103.7375
Andrew Ference\ferenan01,656,28,141,169,-20,537,32.1,24,4,0,2,98,36,7,784,13010,625,729,4,3,7323,7908,5393,6006,6.4818181818181815,74.89090909090909,40.20909090909091,41.60909090909091,69,254,1366,34.945454545454545,0.03571428571428571,19.83231707317073,0.5714285714285714,0.4807957455190073,0.47311167646284763,81.37272727272727
Andrew Gordon\gordoan01,55,3,4,7,-15,6,-0.4,3,0,0,0,4,0,0,46,551,22,58,2,8,367,430,262,330,6.38,87.26,57.6,42.4,8,11,97,NA,0.06521739130434782,10.018181818181818,0.2,0.4604767879548306,0.44256756756756754,93.64
Andrew Hutchinson\hutchan01,122,8,23,31,-14,66,4.1000000000000005,4,4,0,0,10,13,0,138,1525,43,11,0,0,495,480,375,359,1.575,44.95,25.174999999999997,24.825000000000003,2,14,121,18.075,0.057971014492753624,12.5,NaN,0.5076923076923077,0.510899182561308,46.525000000000006
Andrew Joudrey\joudran01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,1,0,4,8,4,5,0,100,0,100,0,0,1,100,0,9,1,0.3333333333333333,0.4444444444444444,100
Andrew Ladd\laddan01,950,249,289,538,40,568,59.2,195,48,6,36,229,53,7,2094,15804,387,1370,141,197,11996,10760,8864,8004,8.02,79.60666666666667,43.233333333333334,43.43333333333334,390,376,3361,51.06666666666666,0.11891117478510028,16.63578947368421,0.4171597633136095,0.527157672701705,0.5254920559639554,87.62666666666667
Andrew MacDonald\macdoan01,586,28,133,161,-11,276,31.4,22,6,0,6,99,29,5,594,12535,1339,371,0,1,9110,10315,6585,7308,9.463636363636363,92.45454545454545,48.47272727272727,51.52727272727273,230,376,1535,37.58181818181818,0.04713804713804714,21.390784982935152,0,0.468983268983269,0.47397970200820555,101.91818181818182
Andrew MacWilliam\macwian01,12,0,2,2,-6,12,-0.1,0,0,0,0,2,0,0,5,185,20,35,0,1,107,159,81,124,3.3,91.5,38.7,61.3,2,4,13,38.5,0,15.416666666666666,0,0.40225563909774437,0.3951219512195122,94.8
Andrew Mangiapane\mangian01,122,25,20,45,12,32,5.1,25,0,0,3,19,1,0,181,1485,46,125,19,34,1291,1123,951,834,7.333333333333333,92.26666666666667,52,48,56,43,321,52.333333333333336,0.13812154696132597,12.172131147540984,0.3584905660377358,0.5347970173985087,0.5327731092436975,99.6
Andrew Miller\millean01,15,1,5,6,-3,0,0.4,1,0,0,0,5,0,0,17,179,6,11,14,17,154,173,128,133,6.550000000000001,88.6,47.849999999999994,52.150000000000006,4,6,25,68.45,0.058823529411764705,11.933333333333334,0.45161290322580644,0.4709480122324159,0.4904214559386973,95.14999999999999
Andrew Murray\murraan01,221,24,16,40,-7,36,2.7,23,1,0,4,13,0,3,290,2327,85,413,127,164,1635,1546,1285,1120,4.883333333333333,93.96666666666667,42.21666666666667,57.78333333333333,47,15,432,72.11666666666667,0.08275862068965517,10.529411764705882,0.436426116838488,0.5139893115372525,0.5343035343035343,98.85
Andrew Peeke\peekean01,22,1,2,3,1,4,0.9,1,0,0,0,2,0,0,23,305,21,25,0,0,223,206,165,146,9.6,90.6,52.7,47.3,3,8,53,43.4,0.043478260869565216,13.863636363636363,NaN,0.5198135198135199,0.5305466237942122,100.19999999999999
Andrew Peters\peteran01,187,2,3,5,-14,499,-1.1,2,0,0,0,3,0,0,68,712,8,61,2,4,251,334,205,253,1.46,55.4,36.64,23.36,2,16,65,39.84,0.029411764705882353,3.807486631016043,0.3333333333333333,0.42905982905982903,0.44759825327510916,56.86
Andrew Poturalski\poturan01,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,25,1,1,12,12,17,33,13,27,0,83.3,42.9,57.1,1,0,1,100,0,12.5,0.5,0.34,0.325,83.3
Andrew Shaw\shawan01,530,114,129,243,29,567,25.8,88,26,0,14,104,25,0,988,8083,214,1024,1680,1816,6844,5887,4952,4381,8.78888888888889,91.38888888888889,52.922222222222224,47.077777777777776,166,168,1648,60.28888888888889,0.11538461538461539,15.250943396226415,0.4805491990846682,0.5375854214123007,0.5305903782277939,100.17777777777778
Andrey Pedan\pedanan01,13,0,0,0,-3,18,-0.1,0,0,0,0,0,0,0,11,142,8,40,0,0,119,144,84,116,1.7,95.7,58.2,41.8,0,5,27,40.7,0,10.923076923076923,NaN,0.4524714828897338,0.42,97.4
Andy Andreoff\andrean01,173,13,12,25,-9,216,1.2999999999999998,13,0,0,4,12,0,0,159,1605,33,282,235,224,1383,1419,1016,1069,5.66,92.88,55.5,44.5,28,33,300,55.78,0.08176100628930817,9.277456647398845,0.5119825708061002,0.493576017130621,0.48729016786570745,98.53999999999999
Andy Delmore\delmoan01,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,7,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.428571428571429,NaN,NaN,NaN,0
