Player,gp,goals,assists,points,plusminus,PIM,pointShares,evenStrengthG,powerPlayG,shortHandG,gameWinningG,evenStrengthA,powerPlayA,shortHandA,shots,TOI,blocks,hits,foWins,foLosses,CorsiFor,CorsiAgainst,FenwickFor,FenwickAgainst,oiSHperc,oiSVperc,oZSperc,dZSperc,takeaways,giveaways,shotAttempts,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,PDO
Brendan Shinnimin\shinnbr01,12,0,1,1,-1,8,-0.1,0,0,0,0,1,0,0,10,132,4,12,42,59,111,114,77,78,1.8,96.5,60.7,39.3,4,4,23,43.5,0,11,0.4158415841584158,0.49333333333333335,0.4967741935483871,98.3
Brendan Smith\smithbr05,478,24,76,100,-15,521,19.7,20,3,1,2,66,8,2,545,8008,413,555,1,1,6370,5880,4822,4523,7.111111111111111,91.83333333333333,54.84444444444444,45.15555555555556,146,319,1166,46.3,0.044036697247706424,16.753138075313807,0.5,0.52,0.5159978598180845,98.94444444444444
Brendan Witt\wittbr01,322,6,43,49,-46,530,7.5,6,0,0,1,38,0,5,285,6553,353,358,1,2,2240,2824,1644,2072,3.36,54.5,24.48,35.52,59,90,290,27.72,0.021052631578947368,20.350931677018632,0.3333333333333333,0.4423380726698262,0.44241119483315394,57.86
Brendan Woods\woodsbr01,7,0,0,0,-1,7,-0.2,0,0,0,0,0,0,0,8,56,0,5,0,1,40,42,31,33,0,83.35,46.45,53.55,1,1,9,87.5,0,8,0,0.4878048780487805,0.484375,83.35
Brenden Dillon\dillobr01,598,22,92,114,13,574,25.2,18,0,4,4,90,0,2,665,11102,793,1375,0,0,9584,8942,7071,6407,7.088888888888889,92.04444444444445,48.477777777777774,51.522222222222226,104,292,1571,48.67777777777778,0.03308270676691729,18.565217391304348,NaN,0.5173269998920436,0.5246327348271257,99.13333333333334
Brenden Morrow\morrobr01,621,168,203,371,39,789,41.2,104,59,5,28,148,53,2,1097,10471,219,1206,62,110,5610,5760,4185,4335,7.8100000000000005,72.74,40.93,39.07,188,280,1483,45.53,0.15314494074749316,16.861513687600645,0.36046511627906974,0.49340369393139843,0.49119718309859156,80.55
Brendon Nash\nashbr01,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,20,6,1,0,0,19,19,10,9,0,87.5,41.7,58.3,0,1,4,50,0,10,NaN,0.5,0.5263157894736842,87.5
Brennan Menell\menelbr01,5,0,0,0,1,2,0.1,0,0,0,0,0,0,0,4,70,4,2,0,0,51,30,36,23,12,88.2,70.3,29.7,2,0,10,40,0,14,NaN,0.6296296296296297,0.6101694915254238,100.2
Brent Burns\burnsbr01,1077,209,479,688,3,673,117.4,133,74,2,39,291,176,12,3062,24010,1206,1213,71,83,17500,15576,12769,11445,7.753333333333334,78.56,45.72666666666667,40.94,591,1032,5648,43.693333333333335,0.0682560418027433,22.293407613741877,0.461038961038961,0.5290845325916073,0.5273395556289749,86.31333333333333
Brent Regner\regnebr01,7,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,7,81,7,4,0,0,60,75,52,57,0,94.1,38.9,61.1,0,1,10,70,0,11.571428571428571,NaN,0.4444444444444444,0.47706422018348627,94.1
Brent Seabrook\seabrbr01,1114,103,361,464,111,661,88.5,63,38,2,19,230,121,10,1996,24444,1785,1929,0,4,16421,15142,12196,11276,7.5,79.60666666666667,45.78666666666667,40.88,299,765,3581,42.21333333333333,0.051603206412825654,21.942549371633753,0,0.5202610651712448,0.5195978186775733,87.10666666666667
Brent Sopel\sopelbr01,357,12,81,93,3,180,17.4,8,4,0,3,55,21,5,427,6624,437,134,0,0,2452,2645,1869,1906,5.433333333333334,60.6,33.46666666666667,33.2,61,118,348,31.183333333333334,0.02810304449648712,18.554621848739497,NaN,0.4810672944869531,0.49509933774834436,66.03333333333333
Bret Hedican\hedicbr01,241,8,52,60,13,200,11.4,5,2,1,1,38,12,2,237,4606,145,116,0,0,1851,1620,1444,1248,4.449999999999999,45.224999999999994,28.5,21.5,32,41,248,23.6,0.03375527426160337,19.112033195020746,NaN,0.533275713050994,0.5364041604754829,49.675
Brett Bellemore\bellebr01,121,4,16,20,-2,79,5.2,4,0,0,1,16,0,0,83,2030,165,331,0,0,1581,1695,1199,1231,5.866666666666667,92.3,45.9,54.1,33,71,186,36.5,0.04819277108433735,16.776859504132233,NaN,0.4826007326007326,0.4934156378600823,98.16666666666666
Brett Bulmer\bulmebr01,17,0,3,3,-2,15,-0.1,0,0,0,0,3,0,0,16,172,4,33,0,0,110,157,79,110,3.3333333333333335,93.13333333333334,28.5,71.5,1,0,27,70.7,0,10.117647058823529,NaN,0.41198501872659177,0.41798941798941797,96.46666666666667
Brett Carson\carsobr01,90,2,11,13,8,20,3.5999999999999996,2,0,0,0,9,2,0,65,1366,118,106,0,0,1073,1148,793,837,5.94,90.46,53.04,46.96,7,21,152,44.3,0.03076923076923077,15.177777777777777,NaN,0.4831157136425034,0.4865030674846626,96.39999999999999
Brett Clark\clarkbr01,531,40,135,175,-30,233,29.2,23,17,0,5,88,45,2,701,10924,910,438,0,0,4821,5394,3658,3790,5.7875000000000005,66.7,37.9125,37.0875,116,194,940,31.85,0.05706134094151213,20.572504708097927,NaN,0.4719530102790015,0.4911385606874329,72.4875
Brett Connolly\connobr01,496,98,90,188,9,222,19.1,82,16,0,20,80,10,0,698,6177,148,566,114,162,5026,4913,3678,3683,8.355555555555556,90.62222222222222,53.3,46.7,130,127,1222,57.56666666666667,0.14040114613180515,12.453629032258064,0.41304347826086957,0.5056846765268136,0.4996603722320337,98.97777777777777
Brett Festerling\festebr01,88,0,8,8,3,35,2.1,0,0,0,0,8,0,0,42,1273,70,225,0,0,858,957,672,771,5,89.3,61.65,38.35,10,22,114,30.575000000000003,0,14.465909090909092,NaN,0.4727272727272727,0.4656964656964657,94.3
Brett Gallant\gallabr02,4,0,0,0,0,17,0,0,0,0,0,0,0,0,3,28,0,9,0,0,27,26,24,24,0,100,75,25,0,0,6,50,0,7,NaN,0.5094339622641509,0.5,100
Brett Howden\howdebr01,136,15,27,42,-27,42,1.2999999999999998,14,1,0,3,22,3,2,138,1906,114,133,604,646,1208,1702,896,1268,9.2,90.15,47.15,52.85,53,62,224,62,0.10869565217391304,14.014705882352942,0.4832,0.41512027491408937,0.41404805914972276,99.35000000000001
Brett Hull*\hullbr01,5,0,1,1,-3,0,-0.1,0,0,0,0,0,1,0,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,NaN,NaN,NaN,0
Brett Kulak\kulakbr01,214,8,27,35,3,84,7.5,7,0,1,3,27,0,0,304,3317,179,227,0,0,3268,2688,2389,1996,7.466666666666667,89.78333333333333,59.11666666666667,40.88333333333333,52,119,635,38.71666666666667,0.02631578947368421,15.5,NaN,0.5486903962390867,0.5448118586088939,97.25
Brett Lebda\lebdabr01,397,20,56,76,16,229,17,18,2,0,5,51,5,0,467,5841,144,169,1,3,3493,3027,2662,2404,5.442857142857143,65.41428571428571,39.41428571428571,32.01428571428571,33,81,683,31.957142857142856,0.042826552462526764,14.712846347607053,0.25,0.5357361963190184,0.5254638768258981,70.85714285714286
Brett Lernout\lernobr01,21,0,1,1,-6,6,0,0,0,0,0,0,0,1,17,346,21,65,0,0,267,308,188,227,3.2666666666666666,92.39999999999999,45.36666666666667,54.63333333333333,4,11,42,NA,0,16.476190476190474,NaN,0.4643478260869565,0.4530120481927711,95.66666666666666
Brett Maclean\maclebr02,18,2,3,5,1,4,0.5,1,1,0,2,2,1,0,22,156,1,11,1,1,127,118,96,93,10.8,90.9,58,42,3,1,39,60,0.09090909090909091,8.666666666666666,0.5,0.5183673469387755,0.5079365079365079,101.7
Brett McLean\mcleabr01,307,45,86,131,-16,150,10,40,4,1,6,64,22,0,503,4146,46,52,493,587,1420,1615,1083,1256,3.375,46.125,22.775,27.225,57,29,408,31.049999999999997,0.08946322067594434,13.504885993485342,0.4564814814814815,0.46787479406919275,0.4630183839247542,49.5
Brett Pesce\pescebr01,350,20,82,102,52,105,25.3,19,1,0,4,72,6,4,484,7224,554,219,1,2,5846,5222,4323,3963,8.82,91.54,49.58,50.42,232,149,1065,45.699999999999996,0.04132231404958678,20.64,0.3333333333333333,0.5281893747741236,0.5217233888486604,100.36000000000001
Brett Ritchie\ritchbr01,268,35,25,60,-2,177,5.1000000000000005,31,4,0,6,21,4,0,468,3093,57,659,6,15,2557,2383,1826,1733,7.2,91.6,48.61666666666667,51.38333333333333,45,71,851,56.36666666666667,0.07478632478632478,11.541044776119403,0.2857142857142857,0.5176113360323886,0.5130654678280416,98.8
Brett Seney\seneybr01,53,5,8,13,-15,31,0.5,5,0,0,0,7,1,0,50,547,15,50,98,164,393,548,293,415,3.7,87.9,47.8,52.2,18,20,76,58.1,0.1,10.320754716981131,0.37404580152671757,0.41764080765143463,0.4138418079096045,91.60000000000001
