Round,Overall,Pos,gp,plusminus,oiSHperc,oiSVperc,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,pointspergame,avgPSperseason,playedDraftYear,GPG,APG,PIM_pergame,ESG_pergame,PPG_pergame,SHG_pergame,GWG_perseason,ESA_pergame,PPA_pergame,SHA_pergame,shots_pergame,blocks_pergame,hits_pergame,FOwins_pergame,FOlosses_pergame,takeaways_pergame,giveaways_pergame,shotattempts_pergame,playedover100,playedover200,playedover300,lm_preds
1,1,C,984,175,9.626666666666667,78.46,52.8,0.14564943253467844,20.852642276422763,0.5266508416055243,0.5411294578903717,0.5473499120823914,1.2835365853658536,10.266666666666667,TRUE,0.4695121951219512,0.8140243902439024,0.6839430894308943,0.3241869918699187,0.14227642276422764,0.003048780487804878,4.266666666666667,0.483739837398374,0.3231707317073171,0.007113821138211382,3.2235772357723578,0.3932926829268293,0.7378048780487805,9.920731707317072,8.916666666666666,0.4603658536585366,0.6707317073170732,4.411585365853658,TRUE,TRUE,TRUE,7.0095431
1,2,LW,833,2,9.86923076923077,90.82307692307693,55.12307692307692,0.12306201550387597,16.965186074429774,0.3905429071803853,0.5015502134351831,0.4959461070704662,0.6662665066026411,4.253333333333333,TRUE,0.304921968787515,0.36134453781512604,0.531812725090036,0.226890756302521,0.0744297719087635,0.003601440576230492,1.7333333333333334,0.2689075630252101,0.09243697478991597,0,2.4777911164465785,0.42737094837935174,1.4597839135654262,0.26770708283313327,0.4177671068427371,0.5630252100840336,0.5414165666266506,4.44297719087635,TRUE,TRUE,TRUE,5.5005517
1,3,D,937,-114,7.628571428571428,84.93571428571428,43.17142857142857,0.04936530324400564,22.314834578441836,0.5,0.4703676161531249,0.46733259024264767,0.3223052294557097,3.46,TRUE,0.07470651013874066,0.24759871931696906,0.5560298826040555,0.042689434364994665,0.030949839914621132,0.0010672358591248667,0.7333333333333333,0.14514407684098185,0.09818569903948772,0.004268943436499467,1.5133404482390609,1.5976520811099253,1.7011739594450372,0.004268943436499467,0.004268943436499467,0.21558164354322304,0.49092849519743864,3.2497331910352187,TRUE,TRUE,TRUE,4.615319967532198
1,4,LW,625,25,7.975,84.55833333333334,54.9,0.1344364012409514,13.6288,0.40950639853747717,0.5118932938125231,0.509613478691774,0.4208,2.376923076923077,FALSE,0.208,0.2128,0.5936,0.1616,0.04,0.0064,2,0.1856,0.0272,0,1.5472,0.3344,1.096,0.3584,0.5168,0.4768,0.4128,2.56,TRUE,TRUE,TRUE,4.20215246528915
1,6,C,299,-39,5.2125,68.6625,45.35,0.09598214285714286,11.846153846153847,0.5233968804159446,0.4744578313253012,0.47493654822335024,0.3177257525083612,0.8,FALSE,0.14381270903010032,0.17391304347826086,0.5217391304347826,0.12040133779264214,0.023411371237458192,0,0.6666666666666666,0.14381270903010032,0.030100334448160536,0,1.4983277591973243,0.2408026755852843,1.1772575250836121,1.0100334448160535,0.919732441471572,0.19732441471571907,0.3277591973244147,1.7926421404682273,TRUE,TRUE,FALSE,3.627858938163871
1,7,RW,368,-52,6.38,88.72,63.02,0.06697819314641744,10.807065217391305,0.40789473684210525,0.47921323200715243,0.48246483059243117,0.22826086956521738,0.45,FALSE,0.11684782608695653,0.11141304347826086,0.32065217391304346,0.11141304347826086,0.002717391304347826,0.002717391304347826,0.25,0.11141304347826086,0,0,1.7445652173913044,0.33695652173913043,1.766304347826087,0.08423913043478261,0.12228260869565218,0.2826086956521739,0.10869565217391304,2.8260869565217392,TRUE,TRUE,TRUE,3.4127823145151615
1,8,RW,516,-11,7.355555555555555,91.41111111111111,55.766666666666666,0.11036225779275484,15.209302325581396,0.3805309734513274,0.5106280965318842,0.5117153912295787,0.5058139534883721,2.4166666666666665,FALSE,0.25387596899224807,0.25193798449612403,0.3430232558139535,0.17635658914728683,0.07751937984496124,0,1.8333333333333333,0.19573643410852712,0.0562015503875969,0,2.300387596899225,0.35658914728682173,1.6375968992248062,0.08333333333333333,0.13565891472868216,0.36627906976744184,0.4883720930232558,4.067829457364341,TRUE,TRUE,TRUE,3.2282939490857316
1,11,C,1073,76,8.614285714285714,84.22857142857143,51.5,0.1280769230769231,21.03821062441752,0.5263498920086394,0.5443518580740542,0.540771386627519,0.8853681267474371,7.093333333333334,TRUE,0.3103448275862069,0.5750232991612302,0.2739981360671016,0.2096924510717614,0.08853681267474371,0.012115563839701771,3.533333333333333,0.3429636533084809,0.22367194780987884,0.008387698042870456,2.423112767940354,0.6225535880708295,0.8872320596458527,9.084808946877912,8.175209692451071,0.5582479030754893,0.6318732525629077,4.007455731593662,TRUE,TRUE,TRUE,2.7966823955938467
1,12,D,892,46,8.2,92.35384615384615,45.90769230769231,0.044284243048403706,20.619955156950674,0.375,0.47981553742461863,0.48343744084800305,0.21076233183856502,3.14,TRUE,0.04820627802690583,0.1625560538116592,0.484304932735426,0.03811659192825112,0.007847533632286996,0.002242152466367713,0.4,0.14013452914798205,0.01233183856502242,0.010089686098654708,1.0885650224215246,1.3026905829596414,1.4663677130044843,0.0033632286995515697,0.005605381165919282,0.4439461883408072,0.5728699551569507,2.35762331838565,TRUE,TRUE,TRUE,2.681205448290269
1,15,C,33,-3,6.533333333333333,92.3,65.3,0.045454545454545456,10.151515151515152,0.4627450980392157,0.4074803149606299,0.4375,0.21212121212121213,0.028571428571428574,FALSE,0.030303030303030304,0.18181818181818182,0.5151515151515151,0.030303030303030304,0,0,0,0.15151515151515152,0.030303030303030304,0,0.6666666666666666,0.48484848484848486,1.9696969696969697,3.5757575757575757,4.151515151515151,0.3333333333333333,0.5757575757575758,0.9696969696969697,FALSE,FALSE,FALSE,2.390984446378357
