Year,Round,Overall,Team,Player,Nat.,Pos,PosSimp,Age,To,YrsPlayed,AmateurTeam,AmateurLeague,GP,G,A,PTS,PlusMinus,PIM,Gpgoalie,Wgoalie,Lgoalie,TOTSOlossgoalie,SavePercgoalie,GAAgoalie,PS
2005,2,35,San Jose Sharks,Marc-Edouard Vlasic\vlasima01,CA,D,D,18,2020,15,Quebec (QMJHL),QMJHL,1035,72,254,326,122,402,0,0,0,0,0,0,78.1
2005,2,36,Edmonton Oilers,Taylor Chorney\chornta01,CA,D,D,18,2018,13,Shattuck-St. Mary's (High-MN),High,166,4,18,22,-6,56,0,0,0,0,0,0,4.3
2005,2,37,St. Louis Blues,Scott Jackson\jackssc01,CA,D,D,18,2010,5,Seattle (WHL),WHL,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,38,New Jersey Devils,Jeff Frazee\frazeje01,US,G,G,18,2013,8,U.S. National U-18 (USNTDP),USNTDP,1,0,0,0,0,0,1,0,0,0,1,0,0.1
2005,2,39,Boston Bruins,Petr Kalus\kaluspe01,CZ,LW,W,18,2010,5,Vitkovice Jr. (Czech-Jr.),CzechJr,11,4,1,5,0,6,0,0,0,0,0,0,0.7
2005,2,40,New York Rangers,Michael Sauer\sauermi01,US,D,D,18,2012,7,Portland (WHL),WHL,98,4,14,18,28,96,0,0,0,0,0,0,6.8
2005,2,41,Atlanta Thrashers,Ondrej Pavelec\pavelon01,CZ,G,G,18,2018,13,Poldi Kladno Jr. (Czech-Jr.),CzechJr,398,0,6,6,0,12,398,156,167,48,0.907,2.88,60.9
2005,2,42,Detroit Red Wings,Justin Abdelkader\abdelju01,US,LW,W,18,2020,15,Cedar Rapids (USHL),USHL,739,106,146,252,-56,608,0,0,0,0,0,0,18.9
2005,2,43,Chicago Blackhawks,Mike Blunden\blundmi01,CA,RW,W,18,2018,13,Erie (OHL),OHL,127,7,6,13,-6,145,0,0,0,0,0,0,0.1
2005,2,44,Colorado Avalanche,Paul Stastny\stastpa01,CA,C,C,19,2020,15,Denver (WCHA),NCAA,945,250,476,726,39,438,0,0,0,0,0,0,75.4
2005,2,45,Montreal Canadiens,Guillaume Latendresse\latengu01,CA,LW,W,18,2013,8,Drummondville (QMJHL),QMJHL,341,87,60,147,-15,185,0,0,0,0,0,0,17
2005,2,46,New York Islanders,Dustin Kohn\kohndu01,CA,D,D,18,2010,5,Calgary (WHL),WHL,22,0,4,4,-2,4,0,0,0,0,0,0,0.5
2005,2,47,Colorado Avalanche,Tom Fritsche\fritsto01,US,LW,W,18,2005,0,Ohio State (CCHA),NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,48,Buffalo Sabres,Philip Gogulla\gogulph01,DE,RW,W,18,2005,0,Koln (Germany),Germany,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,49,Atlanta Thrashers,Chad Denny\dennych01,CA,D,D,18,2005,0,Lewiston (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,50,Los Angeles Kings,Dany Roussin\roussda01,CA,C,C,20,2005,0,Rimouski (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,51,Vancouver Canucks,Mason Raymond\raymoma01,CA,LW,W,19,2017,12,Camrose (AJHL),AJHL,546,115,136,251,-2,156,0,0,0,0,0,0,25
2005,2,52,Colorado Avalanche,Chris Durand\duranch01,CA,C,C,18,2005,0,Seattle (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,53,Atlanta Thrashers,Andrew Kozek\kozekan01,CA,LW,W,19,2005,0,South Surrey (BCHL),BCHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,54,Chicago Blackhawks,Dan Bertram\bertrda01,CA,RW,W,18,2005,0,Boston College (H-East),NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,55,Columbus Blue Jackets,Adam McQuaid\mcquaad01,CA,D,D,18,2019,14,Sudbury (OHL),OHL,512,16,57,73,62,694,0,0,0,0,0,0,21.3
2005,2,56,New York Rangers,Marc-Andre Cliche\clichma01,CA,C,C,18,2015,10,Lewiston (QMJHL),QMJHL,151,3,11,14,-12,34,0,0,0,0,0,0,-1.5
2005,2,57,Minnesota Wild,Matt Kassian\kassima01,CA,LW,W,18,2014,9,Kamloops (WHL),WHL,76,4,1,5,-4,177,0,0,0,0,0,0,0.2
2005,2,58,Carolina Hurricanes,Nate Hagemo\hagemna01,US,D,D,18,2005,0,Minnesota (WCHA),NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,59,Phoenix Coyotes,Pier-Olivier Pelletier\pellepi01,CA,G,G,18,2005,0,Drummondville (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,60,Los Angeles Kings,T.J. Fast\fastt.01,CA,D,D,18,2005,0,Camrose (AJHL),AJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,61,Pittsburgh Penguins,Michael Gergen\gergemi01,US,LW,W,18,2005,0,Shattuck-St. Mary's (High-MN),High,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,62,Pittsburgh Penguins,Kris Letang\letankr01,CA,D,D,18,2020,15,Val d'Or (QMJHL),QMJHL,808,127,410,537,61,580,0,0,0,0,0,0,90.4
2005,3,63,Anaheim Ducks,Jason Bailey\baileja01,CA,RW,W,18,2005,0,U.S. National U-18 (USNTDP),USNTDP,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,64,Carolina Hurricanes,Joe Barnes\barnejo01,CA,C,C,19,2005,0,Saskatoon (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,65,Minnesota Wild,Kristofer Westblom\westbkr01,CA,G,G,18,2005,0,Kelowna (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
